time,source,sink
2007,111.9,37.9
2008,111.8,37.8
2009,111.6,37.9
2010,111.7,37.9
2011,111.9,37.9
2012,111.9,38
2013,111.8,37.9
2014,111.9,37.9
2015,111.9,37.8
2016,111.7,37.8
2017,111.7,37.8
2018,111.8,37.8
2019,112,37.6
2020,112,37.5
2021,111.9,37.5
2022,111.7,37.5
2023,111.6,37.6
2024,111.5,37.6
2025,111.6,37.6
2026,111.5,37.6
2027,111.7,37.6
2028,111.8,37.6
2029,111.8,37.7
2030,111.9,37.6
2031,111.9,37.7
2032,111.9,37.7
2033,111.8,37.8
2034,111.8,37.8
2035,111.8,37.8
2036,111.8,37.8
2037,111.9,37.8
2038,111.9,37.9
2039,111.9,37.8
2040,112.2,37.8
2041,112,37.6
2042,111.8,37.5
2043,111.4,37.4
2044,111,37.5
2045,110.9,37.6
2046,111.3,37.6
2047,111.3,37.5
2048,111.3,37.5
2049,111.3,37.6
2050,111.4,37.6
2051,111.7,37.6
2052,111.7,37.6
2053,111.8,37.7
2054,111.9,37.6
2055,112.1,37.7
2056,112.1,37.7
2057,112,37.6
2058,112,37.7
2059,112.1,37.7
2060,112.1,37.6
2061,112,37.4
2062,112,37.5
2063,112,37.6
2064,111.7,37.6
2065,111.7,37.6
2066,111.7,37.6
2067,111.5,37.6
2068,111.5,37.6
2069,111.6,37.6
2070,111.7,37.7
2071,111.6,37.6
2072,111.9,37.5
2073,112,37.5
2074,112.3,37.6
2075,112.4,37.7
2076,112.2,37.7
2077,112.1,37.6
2078,112.2,37.6
2079,111.9,37.6
2080,111.9,37.6
2081,111.9,37.7
2082,112.1,37.7
2083,112.1,37.7
2084,112,37.8
2085,111.8,37.7
2086,111.6,37.8
2087,111.5,37.8
2088,111.4,37.9
2089,111.2,37.9
2090,110.8,38
2091,110.9,38
2092,111.1,37.9
2093,111.3,37.9
2094,111.6,37.8
2095,111.5,37.7
2096,111.5,37.8
2097,111.6,37.7
2098,111.7,37.8
2099,111.6,37.7
2100,111.8,37.5
2101,111.7,37.4
2102,111.6,37.4
2103,111.5,37.3
2104,111.5,37.3
2105,111.5,37.5
2106,111.5,37.5
2107,111.7,37.5
2108,111.9,37.5
2109,112,37.5
2110,112,37.6
2111,112,37.6
2112,112,37.6
2113,111.9,37.6
2114,111.9,37.7
2115,112,37.7
2116,112,37.7
2117,112.1,37.8
2118,112,37.8
2119,112.1,37.9
2120,112.1,38
2121,112.2,38
2122,112.4,38.1
2123,112.5,38.1
2124,112.6,38
2125,112.5,38
2126,112.6,38
2127,112.6,38.1
